I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.025,0.025,0.05,,,,,,,,,
-0.025,0.025,0.05,,,,,,,,,
-0.024,0.026,0.05,,,,,,,,,
-0.027,0.023,0.05,,,,,,,,,
-0.03,0.02,0.05,,,,,,,,,
-0.03,0.02,0.05,,,,,,,,,
-0.03,0.02,0.05,,,,,,,,,
-0.031,0.02,0.051,,,,,,,,,
-0.028,0.02,0.048,,,,,,,,,
-0.025,0.019,0.045,,,,,,,,,
-0.03,0.015,0.045,,,,,,,,,
-0.03,0.015,0.045,,,,,,,,,
-0.03,0.015,0.045,,,,,,,,,
-0.03,0.015,0.045,,,,,,,,,
-0.031,0.014,0.045,,,,,,,,,
-0.035,0.01,0.045,,,,,,,,,
-0.035,0.01,0.045,,,,,,,,,
-0.035,0.01,0.045,,,,,,,,,
-0.035,0.01,0.045,,,,,,,,,
-0.035,0.01,0.045,,,,,,,,,
-0.035,0.01,0.045,,,,,,,,,
-0.038,0.006,0.045,,,,,,,,,
-0.045,0.003,0.048,,,,,,,,,
-0.041,0.01,0.051,,,,,,,,,
-0.027,0.023,0.05,,,,,,,,,
-0.02,0.03,0.05,,,,,,,,,
-0.024,0.026,0.05,,,,,,,,,
-0.026,0.024,0.05,,,,,,,,,
-0.025,0.025,0.05,,,,,,,,,
-0.025,0.025,0.05,,,,,,,,,
-0.025,0.025,0.05,,,,,,,,,
-0.029,0.025,0.054,,,,,,,,,
-0.03,0.026,0.055,,,,,,,,,
-0.032,0.023,0.055,,,,,,,,,
-0.035,0.02,0.055,,,,,,,,,
-0.035,0.02,0.055,,,,,,,,,
-0.035,0.02,0.055,,,,,,,,,
-0.035,0.02,0.055,,,,,,,,,
-0.035,0.02,0.055,,,,,,,,,
-0.036,0.02,0.056,,,,,,,,,
-0.04,0.02,0.06,,,,,,,,,
-0.044,0.016,0.06,,,,,,,,,
-0.045,0.015,0.06,,,,,,,,,
-0.045,0.015,0.06,,,,,,,,,
-0.045,0.015,0.06,,,,,,,,,
-0.045,0.015,0.06,,,,,,,,,
-0.045,0.015,0.06,,,,,,,,,
-0.044,0.016,0.06,,,,,,,,,
-0.049,0.011,0.06,,,,,,,,,
-0.055,0.004,0.059,,,,,,,,,
-0.055,0.0,0.055,,,,,,,,,
-0.063,-0.008,0.055,,,,,,,,,
-0.065,-0.013,0.052,,,,,,,,,
-0.068,-0.018,0.05,,,,,,,,,
-0.076,-0.027,0.049,,,,,,,,,
-0.075,-0.03,0.045,,,,,,,,,
-0.061,-0.014,0.046,,,,,,,,,
-0.035,0.0,0.034,,,,,,,,,
-0.006,0.011,0.017,,,,,,,,,
0.021,0.022,0.001,,,,,,,,,
0.05,0.035,-0.015,,,,,,,,,
0.094,0.065,-0.03,,,,,,,,,
0.169,0.11,-0.059,,,,,,,,,
0.262,0.159,-0.103,,,,,,,,,
0.36,0.217,-0.144,,,,,,,,,
0.45,0.295,-0.155,,,,,,,,,
0.501,0.38,-0.121,,,,,,,,,
0.569,0.486,-0.084,,,,,,,,,
0.615,0.558,-0.057,,,,,,,,,
0.621,0.614,-0.007,,,,,,,,,
0.61,0.71,0.1,,,,,,,,,
0.552,0.77,0.217,,,,,,,,,
0.519,0.771,0.252,,,,,,,,,
0.447,0.765,0.318,,,,,,,,,
0.355,0.752,0.397,,,,,,,,,
0.335,0.705,0.37,,,,,,,,,
0.31,0.668,0.358,,,,,,,,,
0.256,0.556,0.299,,,,,,,,,
0.164,0.394,0.23,,,,,,,,,
0.072,0.254,0.182,,,,,,,,,
0.03,0.165,0.135,,,,,,,,,
0.006,0.124,0.117,,,,,,,,,
-0.021,0.086,0.107,,,,,,,,,
-0.029,0.063,0.092,,,,,,,,,
-0.018,0.059,0.076,,,,,,,,,
-0.015,0.05,0.065,,,,,,,,,
-0.018,0.042,0.06,,,,,,,,,
-0.026,0.034,0.06,,,,,,,,,
-0.034,0.026,0.06,,,,,,,,,
-0.041,0.019,0.06,,,,,,,,,
-0.045,0.015,0.06,,,,,,,,,
-0.049,0.011,0.06,,,,,,,,,
-0.054,0.007,0.061,,,,,,,,,
-0.055,0.003,0.058,,,,,,,,,
-0.056,-0.001,0.055,,,,,,,,,
-0.06,-0.005,0.055,,,,,,,,,
-0.06,-0.005,0.055,,,,,,,,,
-0.063,-0.008,0.055,,,,,,,,,
-0.067,-0.012,0.055,,,,,,,,,
-0.071,-0.016,0.055,,,,,,,,,
-0.075,-0.02,0.055,,,,,,,,,
-0.075,-0.024,0.051,,,,,,,,,
-0.075,-0.026,0.05,,,,,,,,,
-0.073,-0.023,0.05,,,,,,,,,
-0.07,-0.02,0.05,,,,,,,,,
-0.07,-0.02,0.05,,,,,,,,,
-0.07,-0.02,0.05,,,,,,,,,
-0.071,-0.02,0.051,,,,,,,,,
-0.067,-0.02,0.046,,,,,,,,,
-0.058,-0.019,0.039,,,,,,,,,
-0.055,-0.02,0.035,,,,,,,,,
-0.059,-0.032,0.027,,,,,,,,,
-0.064,-0.042,0.022,,,,,,,,,
-0.065,-0.05,0.014,,,,,,,,,
-0.057,-0.109,-0.051,,,,,,,,,
-0.045,-0.205,-0.16,,,,,,,,,
-0.04,-0.198,-0.158,,,,,,,,,
-0.04,-0.181,-0.141,,,,,,,,,
-0.04,-0.177,-0.137,,,,,,,,,
-0.039,-0.167,-0.128,,,,,,,,,
-0.035,-0.155,-0.12,,,,,,,,,
-0.035,-0.147,-0.112,,,,,,,,,
-0.035,-0.139,-0.104,,,,,,,,,
-0.035,-0.133,-0.097,,,,,,,,,
-0.034,-0.129,-0.095,,,,,,,,,
-0.03,-0.125,-0.095,,,,,,,,,
-0.025,-0.121,-0.095,,,,,,,,,
-0.025,-0.117,-0.092,,,,,,,,,
-0.023,-0.113,-0.089,,,,,,,,,
-0.02,-0.11,-0.09,,,,,,,,,
-0.02,-0.11,-0.09,,,,,,,,,
-0.02,-0.106,-0.086,,,,,,,,,
-0.023,-0.105,-0.082,,,,,,,,,
-0.025,-0.103,-0.078,,,,,,,,,
-0.026,-0.1,-0.074,,,,,,,,,
-0.03,-0.1,-0.07,,,,,,,,,
-0.03,-0.096,-0.066,,,,,,,,,
-0.033,-0.096,-0.062,,,,,,,,,
-0.034,-0.092,-0.058,,,,,,,,,
-0.029,-0.084,-0.055,,,,,,,,,
-0.025,-0.08,-0.055,,,,,,,,,
-0.017,-0.072,-0.055,,,,,,,,,
-0.012,-0.067,-0.055,,,,,,,,,
-0.006,-0.061,-0.055,,,,,,,,,
0.002,-0.054,-0.055,,,,,,,,,
0.005,-0.05,-0.055,,,,,,,,,
0.005,-0.046,-0.051,,,,,,,,,
0.004,-0.045,-0.05,,,,,,,,,
0.007,-0.043,-0.05,,,,,,,,,
0.01,-0.04,-0.05,,,,,,,,,
0.01,-0.04,-0.05,,,,,,,,,
0.014,-0.036,-0.05,,,,,,,,,
0.015,-0.035,-0.051,,,,,,,,,
0.015,-0.033,-0.048,,,,,,,,,
0.015,-0.03,-0.045,,,,,,,,,
0.015,-0.03,-0.045,,,,,,,,,
0.019,-0.026,-0.045,,,,,,,,,
0.02,-0.025,-0.045,,,,,,,,,
0.022,-0.023,-0.045,,,,,,,,,
0.025,-0.02,-0.045,,,,,,,,,
0.025,-0.02,-0.045,,,,,,,,,
0.025,-0.016,-0.041,,,,,,,,,
0.025,-0.015,-0.04,,,,,,,,,
0.027,-0.014,-0.04,,,,,,,,,
0.031,-0.009,-0.04,,,,,,,,,
0.035,-0.005,-0.04,,,,,,,,,
0.039,-0.001,-0.04,,,,,,,,,
0.043,0.003,-0.04,,,,,,,,,
0.048,0.008,-0.04,,,,,,,,,
0.049,0.009,-0.04,,,,,,,,,
0.05,0.01,-0.04,,,,,,,,,
0.071,0.03,-0.04,,,,,,,,,
0.08,0.04,-0.04,,,,,,,,,
0.082,0.041,-0.04,,,,,,,,,
0.085,0.046,-0.039,,,,,,,,,
0.085,0.05,-0.035,,,,,,,,,
0.089,0.054,-0.035,,,,,,,,,
0.094,0.059,-0.035,,,,,,,,,
0.095,0.06,-0.035,,,,,,,,,
0.096,0.061,-0.035,,,,,,,,,
0.105,0.07,-0.035,,,,,,,,,
0.113,0.078,-0.035,,,,,,,,,
0.121,0.086,-0.035,,,,,,,,,
0.129,0.094,-0.035,,,,,,,,,
0.128,0.093,-0.035,,,,,,,,,
0.125,0.09,-0.035,,,,,,,,,
0.146,0.111,-0.035,,,,,,,,,
0.149,0.114,-0.035,,,,,,,,,
0.143,0.108,-0.035,,,,,,,,,
0.146,0.111,-0.035,,,,,,,,,
0.145,0.11,-0.035,,,,,,,,,
0.142,0.107,-0.035,,,,,,,,,
0.166,0.131,-0.035,,,,,,,,,
0.186,0.151,-0.035,,,,,,,,,
0.184,0.15,-0.034,,,,,,,,,
0.185,0.15,-0.035,,,,,,,,,
0.202,0.15,-0.052,,,,,,,,,
0.204,0.15,-0.054,,,,,,,,,
0.197,0.15,-0.047,,,,,,,,,
0.194,0.15,-0.044,,,,,,,,,
0.19,0.15,-0.04,,,,,,,,,
0.19,0.154,-0.036,,,,,,,,,
0.189,0.158,-0.031,,,,,,,,,
0.193,0.162,-0.03,,,,,,,,,
0.194,0.165,-0.029,,,,,,,,,
0.185,0.165,-0.02,,,,,,,,,
0.181,0.165,-0.016,,,,,,,,,
0.174,0.165,-0.009,,,,,,,,,
0.168,0.165,-0.003,,,,,,,,,
0.163,0.165,0.002,,,,,,,,,
0.155,0.165,0.01,,,,,,,,,
0.151,0.165,0.014,,,,,,,,,
0.143,0.166,0.023,,,,,,,,,
0.124,0.16,0.036,,,,,,,,,
0.108,0.147,0.04,,,,,,,,,
0.105,0.14,0.035,,,,,,,,,
0.098,0.133,0.035,,,,,,,,,
0.086,0.121,0.035,,,,,,,,,
0.076,0.111,0.035,,,,,,,,,
0.068,0.103,0.035,,,,,,,,,
0.06,0.095,0.035,,,,,,,,,
0.056,0.091,0.035,,,,,,,,,
0.052,0.087,0.035,,,,,,,,,
0.048,0.083,0.035,,,,,,,,,
0.044,0.079,0.035,,,,,,,,,
0.04,0.075,0.035,,,,,,,,,
0.04,0.075,0.035,,,,,,,,,
0.037,0.072,0.036,,,,,,,,,
0.035,0.068,0.033,,,,,,,,,
0.035,0.064,0.03,,,,,,,,,
0.03,0.06,0.03,,,,,,,,,
0.025,0.056,0.03,,,,,,,,,
0.025,0.055,0.03,,,,,,,,,
0.023,0.053,0.03,,,,,,,,,
0.02,0.05,0.03,,,,,,,,,
0.02,0.05,0.03,,,,,,,,,
0.016,0.046,0.03,,,,,,,,,
0.015,0.045,0.03,,,,,,,,,
0.013,0.043,0.03,,,,,,,,,
0.01,0.04,0.03,,,,,,,,,
0.01,0.04,0.03,,,,,,,,,
0.008,0.036,0.028,,,,,,,,,
-0.008,0.035,0.043,,,,,,,,,
-0.017,0.033,0.05,,,,,,,,,
-0.014,0.03,0.044,,,,,,,,,
-0.015,0.03,0.045,,,,,,,,,
-0.019,0.026,0.045,,,,,,,,,
-0.021,0.024,0.045,,,,,,,,,
-0.018,0.026,0.043,,,,,,,,,
-0.015,0.024,0.04,,,,,,,,,
-0.02,0.02,0.04,,,,,,,,,
-0.02,0.02,0.04,,,,,,,,,
-0.02,0.021,0.041,,,,,,,,,
-0.02,0.018,0.038,,,,,,,,,
-0.02,0.015,0.035,,,,,,,,,
-0.02,0.015,0.035,,,,,,,,,
-0.02,0.015,0.035,,,,,,,,,
-0.023,0.012,0.035,,,,,,,,,
-0.026,0.009,0.035,,,,,,,,,
-0.024,0.01,0.034,,,,,,,,,
-0.02,0.01,0.03,,,,,,,,,
-0.024,0.006,0.03,,,,,,,,,
-0.026,0.004,0.03,,,,,,,,,
-0.025,0.006,0.03,,,,,,,,,
-0.025,0.004,0.029,,,,,,,,,
-0.025,0.0,0.025,,,,,,,,,
-0.025,0.0,0.025,,,,,,,,,
-0.024,0.001,0.025,,,,,,,,,
-0.027,-0.002,0.025,,,,,,,,,
-0.03,-0.005,0.025,,,,,,,,,
-0.03,-0.005,0.025,,,,,,,,,
-0.034,-0.005,0.029,,,,,,,,,
-0.036,-0.005,0.031,,,,,,,,,
-0.033,-0.004,0.029,,,,,,,,,
-0.029,0.001,0.031,,,,,,,,,
-0.03,0.005,0.035,,,,,,,,,
-0.031,0.005,0.036,,,,,,,,,
-0.025,0.007,0.032,,,,,,,,,
-0.032,0.013,0.045,,,,,,,,,
-0.046,0.015,0.061,,,,,,,,,
-0.04,0.015,0.055,,,,,,,,,
-0.035,0.019,0.054,,,,,,,,,
-0.035,0.02,0.056,,,,,,,,,
-0.033,0.02,0.053,,,,,,,,,
-0.03,0.02,0.05,,,,,,,,,
-0.03,0.02,0.05,,,,,,,,,
-0.03,0.02,0.05,,,,,,,,,
-0.03,0.021,0.051,,,,,,,,,
-0.03,0.018,0.048,,,,,,,,,
-0.03,0.015,0.045,,,,,,,,,
-0.03,0.015,0.045,,,,,,,,,
-0.03,0.015,0.045,,,,,,,,,
-0.031,0.015,0.045,,,,,,,,,
-0.028,0.015,0.043,,,,,,,,,
-0.025,0.015,0.04,,,,,,,,,
-0.025,0.015,0.04,,,,,,,,,
-0.025,0.015,0.04,,,,,,,,,
-0.022,0.015,0.037,,,,,,,,,
-0.019,0.015,0.035,,,,,,,,,
-0.02,0.015,0.035,,,,,,,,,
-0.02,0.015,0.035,,,,,,,,,
-0.02,0.015,0.035,,,,,,,,,
-0.02,0.012,0.032,,,,,,,,,
-0.02,0.009,0.029,,,,,,,,,
-0.02,0.01,0.03,,,,,,,,,
-0.02,0.01,0.03,,,,,,,,,
-0.02,0.01,0.03,,,,,,,,,
-0.017,0.01,0.027,,,,,,,,,
-0.012,0.01,0.022,,,,,,,,,
-0.01,0.01,0.02,,,,,,,,,
-0.01,0.01,0.02,,,,,,,,,
-0.006,0.01,0.016,,,,,,,,,
-0.002,0.01,0.012,,,,,,,,,
0.002,0.011,0.008,,,,,,,,,
-0.004,0.009,0.012,,,,,,,,,
-0.02,0.01,0.03,,,,,,,,,
-0.017,0.031,0.048,,,,,,,,,
-0.014,0.035,0.049,,,,,,,,,
-0.015,0.027,0.042,,,,,,,,,
-0.015,0.025,0.04,,,,,,,,,
-0.015,0.025,0.04,,,,,,,,,
-0.015,0.021,0.036,,,,,,,,,
-0.015,0.02,0.035,,,,,,,,,
-0.015,0.019,0.034,,,,,,,,,
-0.015,0.014,0.029,,,,,,,,,
-0.015,0.01,0.025,,,,,,,,,
-0.015,0.01,0.025,,,,,,,,,
-0.015,0.007,0.022,,,,,,,,,
-0.015,0.005,0.02,,,,,,,,,
-0.015,0.004,0.019,,,,,,,,,
-0.015,0.0,0.015,,,,,,,,,
-0.015,0.0,0.015,,,,,,,,,
-0.018,-0.003,0.015,,,,,,,,,
-0.021,-0.006,0.015,,,,,,,,,
-0.02,-0.005,0.015,,,,,,,,,
-0.02,-0.005,0.015,,,,,,,,,
-0.024,-0.009,0.015,,,,,,,,,
-0.026,-0.011,0.015,,,,,,,,,
-0.024,-0.009,0.015,,,,,,,,,
-0.026,-0.011,0.015,,,,,,,,,
-0.03,-0.015,0.015,,,,,,,,,
-0.03,-0.015,0.015,,,,,,,,,
-0.029,-0.014,0.015,,,,,,,,,
-0.032,-0.017,0.015,,,,,,,,,
-0.036,-0.021,0.015,,,,,,,,,
-0.035,-0.02,0.015,,,,,,,,,
-0.034,-0.019,0.015,,,,,,,,,
-0.042,-0.027,0.015,,,,,,,,,
-0.044,-0.029,0.015,,,,,,,,,
-0.039,-0.024,0.015,,,,,,,,,
-0.04,-0.025,0.015,,,,,,,,,
-0.04,-0.025,0.015,,,,,,,,,
-0.04,-0.025,0.015,,,,,,,,,
-0.04,-0.025,0.015,,,,,,,,,
-0.04,-0.025,0.015,,,,,,,,,
-0.04,-0.025,0.015,,,,,,,,,
-0.04,-0.025,0.015,,,,,,,,,
-0.037,-0.025,0.012,,,,,,,,,
-0.034,-0.025,0.009,,,,,,,,,
-0.035,-0.025,0.01,,,,,,,,,
-0.035,-0.025,0.01,,,,,,,,,
-0.031,-0.025,0.006,,,,,,,,,
-0.03,-0.025,0.005,,,,,,,,,
-0.03,-0.025,0.005,,,,,,,,,
-0.03,-0.025,0.005,,,,,,,,,
-0.03,-0.025,0.005,,,,,,,,,
-0.026,-0.025,0.001,,,,,,,,,
-0.025,-0.025,0.0,,,,,,,,,
-0.025,-0.025,0.0,,,,,,,,,
-0.025,-0.025,0.0,,,,,,,,,
-0.025,-0.025,0.0,,,,,,,,,
-0.021,-0.025,-0.004,,,,,,,,,
-0.019,-0.025,-0.006,,,,,,,,,
-0.02,-0.025,-0.004,,,,,,,,,
-0.019,-0.025,-0.006,,,,,,,,,
-0.015,-0.025,-0.01,,,,,,,,,
-0.011,-0.021,-0.01,,,,,,,,,
-0.01,-0.02,-0.01,,,,,,,,,
-0.011,-0.02,-0.01,,,,,,,,,
-0.009,-0.02,-0.011,,,,,,,,,
-0.005,-0.02,-0.015,,,,,,,,,
-0.005,-0.02,-0.015,,,,,,,,,
-0.005,-0.02,-0.015,,,,,,,,,
-0.005,-0.02,-0.015,,,,,,,,,
-0.005,-0.019,-0.014,,,,,,,,,
-0.005,-0.015,-0.01,,,,,,,,,
-0.005,-0.015,-0.01,,,,,,,,,
-0.008,-0.015,-0.007,,,,,,,,,
-0.011,-0.015,-0.004,,,,,,,,,
-0.01,-0.015,-0.005,,,,,,,,,
-0.01,-0.015,-0.005,,,,,,,,,
-0.014,-0.015,-0.001,,,,,,,,,
-0.016,-0.016,0.001,,,,,,,,,
-0.013,-0.013,-0.001,,,,,,,,,
-0.01,-0.01,0.001,,,,,,,,,
-0.015,-0.01,0.005,,,,,,,,,
-0.015,-0.01,0.005,,,,,,,,,
-0.014,-0.01,0.004,,,,,,,,,
-0.017,-0.01,0.007,,,,,,,,,
-0.021,-0.01,0.011,,,,,,,,,
-0.02,-0.01,0.01,,,,,,,,,
-0.019,-0.01,0.009,,,,,,,,,
-0.027,-0.011,0.016,,,,,,,,,
-0.029,-0.007,0.022,,,,,,,,,
-0.024,0.002,0.027,,,,,,,,,
-0.025,0.01,0.035,,,,,,,,,
-0.025,0.014,0.039,,,,,,,,,
-0.026,0.02,0.046,,,,,,,,,
-0.023,0.03,0.052,,,,,,,,,
-0.02,0.036,0.057,,,,,,,,,
-0.025,0.04,0.065,,,,,,,,,
-0.022,0.048,0.07,,,,,,,,,
-0.013,0.054,0.067,,,,,,,,,
-0.011,0.053,0.064,,,,,,,,,
-0.016,0.05,0.065,,,,,,,,,
-0.015,0.05,0.065,,,,,,,,,
-0.015,0.05,0.065,,,,,,,,,
-0.016,0.05,0.066,,,,,,,,,
-0.013,0.05,0.063,,,,,,,,,
-0.01,0.05,0.06,,,,,,,,,
-0.01,0.05,0.06,,,,,,,,,
-0.01,0.05,0.06,,,,,,,,,
-0.009,0.05,0.059,,,,,,,,,
-0.012,0.05,0.062,,,,,,,,,
-0.006,0.051,0.057,,,,,,,,,
0.015,0.05,0.035,,,,,,,,,
0.017,0.035,0.018,,,,,,,,,
0.007,0.018,0.011,,,,,,,,,
-0.007,0.002,0.01,,,,,,,,,
-0.025,-0.014,0.01,,,,,,,,,
-0.04,-0.03,0.01,,,,,,,,,
-0.041,-0.035,0.006,,,,,,,,,
-0.039,-0.034,0.004,,,,,,,,,
-0.043,-0.037,0.006,,,,,,,,,
-0.044,-0.04,0.004,,,,,,,,,
-0.04,-0.04,0.0,,,,,,,,,
-0.044,-0.044,0.0,,,,,,,,,
-0.045,-0.045,0.0,,,,,,,,,
-0.048,-0.047,0.001,,,,,,,,,
-0.049,-0.05,-0.001,,,,,,,,,
-0.04,-0.05,-0.01,,,,,,,,,
-0.04,-0.054,-0.014,,,,,,,,,
-0.037,-0.055,-0.018,,,,,,,,,
-0.035,-0.057,-0.022,,,,,,,,,
-0.034,-0.06,-0.026,,,,,,,,,
-0.03,-0.06,-0.03,,,,,,,,,
-0.03,-0.064,-0.034,,,,,,,,,
-0.029,-0.067,-0.039,,,,,,,,,
-0.019,-0.058,-0.04,,,,,,,,,
-0.009,-0.059,-0.051,,,,,,,,,
-0.01,-0.085,-0.075,,,,,,,,,
-0.014,-0.082,-0.069,,,,,,,,,
-0.021,-0.079,-0.058,,,,,,,,,
-0.027,-0.08,-0.053,,,,,,,,,
-0.032,-0.08,-0.048,,,,,,,,,
-0.04,-0.08,-0.04,,,,,,,,,
-0.048,-0.08,-0.032,,,,,,,,,
-0.054,-0.08,-0.026,,,,,,,,,
-0.053,-0.08,-0.027,,,,,,,,,
-0.05,-0.08,-0.03,,,,,,,,,
-0.05,-0.08,-0.03,,,,,,,,,
-0.05,-0.08,-0.03,,,,,,,,,
-0.051,-0.08,-0.029,,,,,,,,,
-0.046,-0.08,-0.034,,,,,,,,,
-0.04,-0.08,-0.04,,,,,,,,,
-0.045,-0.08,-0.035,,,,,,,,,
-0.045,-0.08,-0.035,,,,,,,,,
-0.045,-0.08,-0.035,,,,,,,,,
-0.045,-0.08,-0.035,,,,,,,,,
-0.045,-0.08,-0.035,,,,,,,,,
-0.045,-0.08,-0.035,,,,,,,,,
-0.049,-0.08,-0.031,,,,,,,,,
-0.05,-0.08,-0.03,,,,,,,,,
-0.05,-0.08,-0.03,,,,,,,,,
-0.05,-0.08,-0.03,,,,,,,,,
-0.05,-0.08,-0.03,,,,,,,,,
-0.05,-0.08,-0.03,,,,,,,,,
-0.05,-0.081,-0.031,,,,,,,,,
-0.05,-0.078,-0.028,,,,,,,,,
-0.05,-0.075,-0.025,,,,,,,,,
-0.05,-0.075,-0.025,,,,,,,,,
-0.046,-0.071,-0.025,,,,,,,,,
-0.045,-0.069,-0.025,,,,,,,,,
-0.045,-0.071,-0.025,,,,,,,,,
-0.045,-0.069,-0.024,,,,,,,,,
-0.045,-0.065,-0.02,,,,,,,,,
-0.045,-0.065,-0.02,,,,,,,,,
-0.046,-0.066,-0.02,,,,,,,,,
-0.043,-0.063,-0.02,,,,,,,,,
-0.04,-0.06,-0.02,,,,,,,,,
-0.04,-0.06,-0.02,,,,,,,,,
-0.04,-0.06,-0.02,,,,,,,,,
-0.037,-0.057,-0.02,,,,,,,,,
-0.034,-0.054,-0.02,,,,,,,,,
-0.035,-0.055,-0.02,,,,,,,,,
-0.035,-0.055,-0.02,,,,,,,,,
-0.031,-0.051,-0.02,,,,,,,,,
-0.027,-0.047,-0.02,,,,,,,,,
-0.024,-0.044,-0.02,,,,,,,,,
-0.018,-0.038,-0.02,,,,,,,,,
-0.015,-0.035,-0.02,,,,,,,,,
-0.035,-0.055,-0.02,,,,,,,,,
-0.045,-0.065,-0.02,,,,,,,,,
-0.044,-0.065,-0.02,,,,,,,,,
-0.046,-0.065,-0.019,,,,,,,,,
-0.05,-0.065,-0.015,,,,,,,,,
